itemName,itemUrl,itemProgress,itemProgresst
小程序运营推广详解,https://study.163.com/course/courseMain.htm?courseId=1004773007,0,0
统计分析轻松入门,https://study.163.com/course/courseMain.htm?courseId=1005232026,0,0
《数据可视化》微专业体验课,https://mooc.study.163.com/learn/term/2402979001.htm,0,0
MBA郭子仪写作16年真题精讲,https://study.163.com/course/courseMain.htm?courseId=1209333865,0,0
管理类联考数学系统课,https://study.163.com/course/courseMain.htm?courseId=1005320002,0,0
管理类联考逻辑-形式逻辑,https://study.163.com/course/courseMain.htm?courseId=1005681020,0,0
股权激励方案设计与实施法律实务,https://study.163.com/course/courseMain.htm?courseId=1002812008,0,0
打造高效执行力,https://study.163.com/course/courseMain.htm?courseId=1209321839,,
创新思维设计,https://study.163.com/course/courseMain.htm?courseId=1209326826,,
现场可视化改善,https://study.163.com/course/courseMain.htm?courseId=274017,,
企业内训师（TTT）授课技巧,https://study.163.com/course/courseMain.htm?courseId=1209335831,,
告别学生思维，成为职场达人,https://study.163.com/course/courseMain.htm?courseId=1003953002,,
学会这四招 成为职场老鸟,https://study.163.com/course/courseMain.htm?courseId=1209333915,,
10分钟心理学速成,https://study.163.com/course/courseMain.htm?courseId=1003649021,,
0基础学好销售话术，你也可以,https://study.163.com/course/courseMain.htm?courseId=1208878850,,
简七小白理财训练营,https://study.163.com/course/courseMain.htm?courseId=1209133804,,
职场必杀技，25天练就好口才！,https://study.163.com/course/courseMain.htm?courseId=1004032023,,
什么是使命、愿景和价值观？,https://study.163.com/course/courseMain.htm?courseId=1209319814,,
经理人一小时学会看财报,https://study.163.com/course/courseMain.htm?courseId=385012,,
管理与人生智慧,https://study.163.com/course/courseMain.htm?courseId=379002,,
管理者如何提升语言表达艺术,https://study.163.com/course/courseMain.htm?courseId=668004,,
卓越领导力的十堂必修课,https://study.163.com/course/courseMain.htm?courseId=1217014,,
软件项目管理实战,https://study.163.com/course/courseMain.htm?courseId=1006448037,,
项目管理系列之一 项目管理简介和启动,https://study.163.com/course/courseMain.htm?courseId=898001,,
项目管理十大模板,https://study.163.com/course/courseMain.htm?courseId=1599010,,
AutoCAD超级速成,https://study.163.com/course/courseMain.htm?courseId=912002,,
旁门左道PPT福利课,https://study.163.com/course/courseMain.htm?courseId=1006430009,,
山本情感课堂-素云老师vip高级班,https://study.163.com/course/courseMain.htm?courseId=1006122023,0,0
恋爱聊天技巧快速脱单VIP课程,https://study.163.com/course/courseMain.htm?courseId=1006128003,,
3分钟玩爆<EXCEL操作技能>,https://study.163.com/course/courseMain.htm?courseId=1644002,,
如何让服饰突显个人色彩,https://study.163.com/course/courseMain.htm?courseId=263006,,
会议纪要写作精讲,https://study.163.com/course/courseMain.htm?courseId=1004700018,,
Word高效排版视频教学,https://study.163.com/course/courseMain.htm?courseId=1005639012,,
PMP和ACP考试认证【免费版】,https://study.163.com/course/courseMain.htm?courseId=854061,,
精读全球好书100本【第一季】,https://study.163.com/course/courseMain.htm?courseId=1006379026,,
如何报税，开发票,https://study.163.com/course/courseMain.htm?courseId=1003322001,,
SPSS轻松入门,https://study.163.com/course/courseMain.htm?courseId=1004033003,,
